id,jenis_makanan,nama_makanan,kalori,protein,lemak,karbohidrat,source
516,komponen,gulai pliek,176.0,7.3,14.9,3.2,tkpi
517,komponen,gulai tiram masakan,132.0,9.0,7.2,7.8,tkpi
518,komponen,hofaubi hutan segar,127.0,1.2,0.5,29.5,tkpi
519,dish,ikan asar merah masakan,146.0,17.7,5.9,5.6,tkpi
520,komponen,ikan baronang segar,78.0,14.5,0.6,3.7,tkpi
521,komponen,ikan batung segar,115.0,14.5,4.6,4.2,tkpi
522,dish,ikan baung bakar,144.0,17.8,5.8,5.2,tkpi
523,komponen,ikan baung segar,123.0,15.1,5.5,3.3,tkpi
524,dish,ikan belida bakar,128.0,18.0,3.0,7.2,tkpi
525,komponen,ikan belida segar,80.0,14.7,1.4,2.2,tkpi
526,komponen,ikan biawan segar,90.0,14.9,2.5,2.1,tkpi
527,komponen,ikan bili segar,88.0,14.2,0.7,6.2,tkpi
528,komponen,ikan bubara segar,100.0,14.7,2.4,4.9,tkpi
529,komponen,ikan bulanbulan segar,134.0,25.5,1.3,5.0,tkpi
530,komponen,ikan cakalang asap mentah,204.0,34.2,5.6,1.9,tkpi
531,komponen,ikan cakalang hati segar,120.0,11.3,3.9,10.0,tkpi
532,komponen,ikan cakalang jantung segar,116.0,11.2,1.2,10.2,tkpi
533,komponen,ikan cakalang perut segar,86.0,10.2,1.1,8.7,tkpi
534,komponen,ikan daun segar,101.0,11.5,4.1,4.6,tkpi
535,komponen,ikan ekor kuning segar,108.0,22.3,1.2,2.1,tkpi
536,komponen,ikan gabus asap mentah,261.0,38.1,2.3,21.9,tkpi
537,komponen,ikan gabus segar,80.0,16.2,0.5,2.6,tkpi
538,dish,ikan gete goreng,267.0,23.1,19.4,0.2,tkpi
539,komponen,ikan heu segar,81.0,10.0,1.6,6.6,tkpi
540,komponen,ikan hitam segar,101.0,10.3,3.7,6.7,tkpi
541,dish,ikan hiu kering,298.0,46.3,3.6,20.2,tkpi
542,komponen,ikan kakatua segar,82.0,11.4,1.2,6.4,tkpi
543,komponen,ikan kalaban segar,77.0,16.4,0.7,1.3,tkpi
544,komponen,ikan kamera segar,86.0,19.7,0.8,0.0,tkpi
545,komponen,ikan kapar segar,132.0,17.0,6.7,0.8,tkpi
546,komponen,ikan kawalinya segar,110.0,12.6,4.2,5.4,tkpi
547,dish,ikan kayu kering,302.0,70.7,1.9,0.4,tkpi
548,komponen,ikan kima segar,70.0,10.8,0.7,5.2,tkpi
549,dish,ikan lais bakar,147.0,17.5,6.5,5.4,tkpi
550,komponen,ikan lehoma segar,90.0,20.4,0.9,0.0,tkpi
551,komponen,ikan lomak asin mentah,258.0,40.3,2.3,18.9,tkpi
552,komponen,ikan malalugis segar,99.0,20.6,1.4,0.9,tkpi
553,komponen,ikan mamar merah segar,115.0,15.3,4.0,4.4,tkpi
554,komponen,ikan nasu metti segar,154.0,16.8,5.0,10.5,tkpi
555,komponen,ikan oci kembung segar,125.0,21.3,3.4,2.2,tkpi
556,dish,ikan papuyu bakar,152.0,17.6,6.1,6.7,tkpi
557,komponen,ikan papuyu betok segar,120.0,14.3,4.9,4.6,tkpi
558,dish,ikan patin bakar,144.0,17.5,6.3,4.3,tkpi
559,komponen,ikan patin segar,132.0,17.0,6.6,1.1,tkpi
560,komponen,ikan pomo segar,147.0,22.5,5.2,2.6,tkpi
561,komponen,ikan puntin segar,76.0,14.4,1.1,2.2,tkpi
562,komponen,ikan saluang kering mentah,284.0,34.1,9.9,14.6,tkpi
563,komponen,ikan saluang segar,113.0,13.9,4.9,3.4,tkpi
564,dish,ikan sanggang masakan,240.0,21.7,7.7,20.7,tkpi
565,komponen,ikan sarden segar,109.0,19.9,1.8,3.4,tkpi
566,komponen,ikan sepat segar,84.0,15.2,0.6,4.7,tkpi
567,komponen,ikan sunu asin mentah,199.0,34.1,3.8,7.1,tkpi
568,komponen,ikan sunu segar,111.0,13.3,3.4,6.7,tkpi
569,komponen,ikan tahuman segar,88.0,15.9,0.9,4.1,tkpi
570,komponen,ikan tarmon segar,96.0,19.5,1.1,2.0,tkpi
571,komponen,ikan telan segar,95.0,15.8,0.7,6.5,tkpi
572,komponen,ikan tempahas segar,101.0,15.1,4.1,1.0,tkpi
573,komponen,ikan terbang segar,98.0,19.6,1.7,1.0,tkpi
574,komponen,ikan titang segar,82.0,17.4,0.4,2.3,tkpi
575,komponen,ikan tongkol segar,100.0,13.7,1.5,8.0,tkpi
576,komponen,ikan turi segar,96.0,19.2,2.0,0.2,tkpi
577,komponen,ikan cakalang segar,107.0,19.6,0.7,5.5,tkpi
578,komponen,ikan telur asin mentah,358.0,20.7,26.4,9.4,tkpi
579,komponen,itik alabio daging dendeng mentah,496.0,30.3,33.5,18.4,tkpi
580,komponen,jambu bol segar,49.0,2.3,0.2,9.6,tkpi
581,komponen,jamur encik,296.0,9.4,1.1,62.0,tkpi
582,komponen,jamur sagu,48.0,1.9,3.2,2.8,tkpi
583,dish,jangang bintatoeng masakan,107.0,5.3,2.2,16.5,tkpi
584,komponen,jengkol segar,192.0,5.4,0.3,40.7,tkpi
585,komponen,jeruk banjar segar,61.0,0.8,0.2,14.1,tkpi
586,dish,jukku pallu kaloa masakan,15.0,15.2,4.3,8.8,tkpi
587,komponen,kabau segar,130.0,6.7,0.3,25.2,tkpi
588,dish,kabuto,250.0,2.6,2.5,35.4,tkpi
589,komponen,kacang beracun segar,118.0,4.4,1.5,21.6,tkpi
590,komponen,kacang ercis segar,129.0,12.4,0.7,18.3,tkpi
591,dish,kacang goyang,516.0,14.7,31.1,44.4,tkpi
592,komponen,kacang hitam kering,346.0,16.6,1.7,66.1,tkpi
593,komponen,kacang kincai kering,444.0,19.9,16.0,55.0,tkpi
594,komponen,kacang komak segar,327.0,16.4,4.3,55.8,tkpi
595,komponen,kacang kuning kering,355.0,17.0,2.5,66.0,tkpi
596,komponen,kacang lebui iris kering,346.0,16.5,1.5,66.6,tkpi
597,komponen,kacang mentega kering,344.0,16.7,2.1,64.6,tkpi
598,komponen,kacang merahbanda kering,350.0,13.9,3.0,66.9,tkpi
599,komponen,kacang metebiji jambu monyet segar,616.0,16.3,48.4,28.7,tkpi
600,dish,kacang negara,480.0,18.4,19.1,58.5,tkpi
601,komponen,kacang panjang segar,31.0,2.3,0.1,5.3,tkpi
602,komponen,kacang tunis kering,351.0,12.2,1.2,72.9,tkpi
603,komponen,kacang urei kering,354.0,12.8,1.8,69.3,tkpi
604,dish,kadada katembe,110.0,4.5,6.9,7.1,tkpi
605,dish,kaholeo masakan,413.0,28.7,19.8,29.8,tkpi
606,dish,kakicak,296.0,3.4,15.1,36.7,tkpi
607,komponen,kalakai segar,38.0,2.4,0.2,6.6,tkpi
608,dish,kambose,164.0,3.0,2.4,32.6,tkpi
609,komponen,kangkung tondano,43.0,1.8,0.2,8.4,tkpi
610,dish,kaparende sayur,38.0,2.4,2.0,2.6,tkpi
611,dish,kapurung,41.0,2.0,0.3,7.8,tkpi
612,dish,kapusa,158.0,4.4,3.2,27.8,tkpi
613,komponen,karawila,25.0,2.3,0.2,3.5,tkpi
614,dish,keddo bodong,290.0,4.6,5.7,55.2,tkpi
615,komponen,kedondong segar,47.0,0.5,0.2,10.4,tkpi
616,komponen,kelapa hutan kering,623.0,2.0,52.1,36.5,tkpi
617,dish,kelepon kue,215.0,3.7,3.7,41.8,tkpi
618,komponen,kenari banda kering,616.0,13.9,56.2,13.7,tkpi
619,komponen,kerang asap mentah,393.0,38.9,13.3,29.4,tkpi
620,dish,kereput,580.0,4.8,39.6,51.1,tkpi
621,dish,keripik kentang,448.0,2.7,18.8,67.1,tkpi
622,dish,keripik ubi,486.0,0.2,23.9,67.6,tkpi
623,dish,kerupuk cumi goreng,444.0,6.9,14.6,71.3,tkpi
624,dish,kerupuk kemplang ikan mentah,325.0,1.8,0.4,78.5,tkpi
625,dish,kerupuk udang goreng,477.0,4.7,20.5,68.5,tkpi
626,dish,kerupuk urat,588.0,53.7,40.9,1.2,tkpi
627,dish,ketupat kandangan,109.0,2.2,5.2,13.4,tkpi
628,komponen,komak polong segar,99.0,3.3,0.1,21.2,tkpi
629,komponen,komak segar,99.0,3.3,0.1,21.2,tkpi
630,dish,kotiu hinela tawang nggole,46.0,2.2,1.5,6.0,tkpi
631,dish,koya,366.0,4.2,4.3,77.5,tkpi
632,dish,koya mirasa,370.0,8.0,1.0,82.2,tkpi
633,dish,koyabu,241.0,3.4,4.3,47.2,tkpi
634,dish,kue ali,440.0,3.8,18.5,64.5,tkpi
635,dish,kue bangen,442.0,3.3,14.7,74.2,tkpi
636,dish,kue bangket,338.0,1.5,1.2,80.3,tkpi
637,dish,kue gelang,448.0,5.8,16.1,70.0,tkpi
638,dish,kue kelapa,591.0,5.6,42.1,47.5,tkpi
639,dish,kue koa,340.0,4.8,0.4,79.3,tkpi
640,dish,kue ku temu,214.0,3.5,0.2,49.6,tkpi
641,dish,kue pelita,141.0,5.3,5.5,17.6,tkpi
642,dish,kue putu singkong,217.0,1.2,0.5,53.2,tkpi
643,dish,kue thipan,247.0,2.9,4.2,49.5,tkpi
644,komponen,kundur segar,22.0,0.4,0.2,4.7,tkpi
645,komponen,labu kuning segar,51.0,1.7,0.5,10.0,tkpi
646,dish,laksaputu mayang,121.0,1.7,3.4,21.1,tkpi
647,komponen,lantar segar,34.0,2.2,0.3,5.5,tkpi
648,dish,lawara jangang masakan,159.0,5.0,10.9,10.1,tkpi
649,dish,lawara penjah masakan,207.0,7.4,15.4,9.6,tkpi
650,dish,lemarebung asam,15.0,1.0,0.4,1.9,tkpi
651,komponen,lemak ikan,372.0,12.0,29.4,14.4,tkpi
652,komponen,lemon segar,34.0,0.5,0.8,6.2,tkpi
653,komponen,lepokubi rumput,181.0,2.8,1.2,39.8,tkpi
654,dish,lilin bungkus gedi,79.0,2.3,5.2,5.8,tkpi
655,dish,loka anjoro,163.0,1.1,4.3,30.0,tkpi
656,komponen,lokan segar,217.0,11.0,1.7,5.1,tkpi
657,komponen,lumaileunca segar,38.0,1.1,0.3,7.6,tkpi
658,dish,manan samin,379.0,3.4,18.1,50.6,tkpi
659,komponen,mangga benggala segar,63.0,2.4,0.4,12.4,tkpi
660,komponen,mangga kwini segar,86.0,0.7,0.5,19.8,tkpi
661,komponen,mangga manalagi segar,133.0,1.0,0.1,32.1,tkpi
662,komponen,mangga segar,52.0,0.7,0.0,12.3,tkpi
663,komponen,markisa squash,217.0,2.5,1.0,49.6,tkpi
664,komponen,markisa squash bd,104.0,1.2,0.5,23.7,tkpi
665,dish,martabak india,153.0,4.5,4.2,24.3,tkpi
666,dish,martabak mesir,278.0,5.1,8.6,45.0,tkpi
667,dish,masekat,369.0,2.1,7.0,74.1,tkpi
668,komponen,matoa segar,90.0,1.2,0.1,21.1,tkpi
669,komponen,menjangan daging dendeng mentah,322.0,55.8,2.0,22.7,tkpi
670,dish,mie aceh rebus,113.0,3.0,3.2,18.1,tkpi
671,dish,mie celon,102.0,3.0,2.1,17.8,tkpi
672,dish,model masakan,79.0,2.2,4.0,8.6,tkpi
673,komponen,mostarda metan sawi hijau,33.0,2.3,0.5,4.7,tkpi
674,dish,naan maran sapi masakan,478.0,38.3,33.9,5.1,tkpi
675,komponen,nanas palembang segar,58.0,0.7,0.2,13.3,tkpi
676,dish,nasi gemuk,192.0,3.8,8.8,24.4,tkpi
677,dish,nasi gurih,190.0,4.7,7.5,26.0,tkpi
678,komponen,nasi minyak,207.0,3.5,5.0,37.1,tkpi
679,dish,nasu likku masakan,196.0,14.5,8.3,15.9,tkpi
680,dish,olaholah,9.0,2.1,6.0,7.1,tkpi
681,dish,ondeonde,336.0,4.0,9.8,57.9,tkpi
682,dish,oramu ninahu ndawa olaho masakan,117.0,13.7,5.0,4.3,tkpi
683,dish,padamaran,171.0,3.9,8.9,18.8,tkpi
684,dish,paku hinela wulelenggapaya,77.0,3.5,4.6,5.4,tkpi
685,komponen,paniki masak santan masakan,460.0,28.5,35.2,7.2,tkpi
686,dish,papeda,61.0,0.2,0.1,14.9,tkpi
687,dish,parede baleh masakan,87.0,10.5,2.5,5.5,tkpi
688,dish,pelecing kangkung,75.0,2.5,2.8,10.0,tkpi
689,dish,pelolah manuk masakan,219.0,19.7,13.6,4.4,tkpi
690,dish,pempek adaan,162.0,4.9,3.0,27.8,tkpi
691,dish,pempek kapal selam,152.0,4.5,2.3,28.2,tkpi
692,dish,pempek kulit,243.0,5.2,7.3,39.1,tkpi
693,dish,pempek telur,156.0,4.7,2.7,28.3,tkpi
694,komponen,pepare ular segar,19.0,0.6,0.1,3.9,tkpi
695,komponen,petai segar,92.0,5.4,1.1,15.2,tkpi
696,dish,pinda masakan,107.0,15.9,0.6,0.4,tkpi
697,komponen,pindang kenari masakan,124.0,9.5,9.6,0.0,tkpi
698,komponen,pisang ambon segar,108.0,1.0,0.8,24.3,tkpi
699,komponen,pisang ayam segar,120.0,1.1,0.2,26.8,tkpi
700,komponen,pisang gapi segar,127.0,2.1,0.3,31.1,tkpi
701,komponen,pisang goroho segar,115.0,1.9,0.2,27.9,tkpi
702,komponen,pisang kayu segar,100.0,1.4,0.5,23.6,tkpi
703,komponen,pisang kepok segar,109.0,0.8,0.5,26.3,tkpi
704,komponen,pisang ketip segar,145.0,1.1,0.3,34.5,tkpi
705,komponen,pisang mas bali ampenan segar,92.0,1.4,0.2,21.0,tkpi
706,komponen,pisang mas bali kopang segar,127.0,1.4,0.2,31.8,tkpi
707,komponen,pisang talas segar,113.0,1.2,0.2,26.7,tkpi
708,komponen,pisang tujuh bulan,94.0,0.6,0.2,22.5,tkpi
709,komponen,pisang ua segar,128.0,0.8,0.5,30.2,tkpi
710,komponen,pucuk lumaidaun leunca segar,33.0,4.5,0.4,2.8,tkpi
711,dish,pulut,216.0,2.6,3.1,44.4,tkpi
712,dish,punai daging goreng,224.0,26.2,11.3,4.4,tkpi
713,dish,pundut nasi,104.0,1.9,4.1,15.1,tkpi
714,dish,purundawa,25.0,1.5,0.5,3.6,tkpi
715,komponen,putri malu segar,76.0,3.6,0.3,14.6,tkpi
716,dish,putri selat,163.0,2.2,6.5,23.8,tkpi
717,dish,putu sopa,215.0,3.3,4.1,41.1,tkpi
718,komponen,rajungan segar,76.0,12.1,2.0,2.4,tkpi
719,komponen,rambutan binjai segar,76.0,0.5,0.2,18.0,tkpi
720,dish,rebung laut mentah,320.0,7.2,4.2,63.3,tkpi
721,komponen,rebung segar,25.0,0.8,0.1,5.3,tkpi
722,dish,renggi goreng,471.0,4.7,21.8,64.1,tkpi
723,dish,ricarica taipa,49.0,1.6,0.3,10.0,tkpi
724,komponen,rimbang segar,75.0,1.6,0.6,15.8,tkpi
725,dish,roti boong,341.0,5.5,16.2,43.3,tkpi
726,dish,rujak aceh,82.0,0.4,0.3,19.7,tkpi
727,komponen,rumput laut,41.0,1.4,0.3,8.1,tkpi
728,komponen,rusa daging dendeng mentah,536.0,40.5,41.5,0.0,tkpi
729,dish,rw anjing masakan,198.0,24.6,10.7,0.9,tkpi
730,dish,saboko gurita masakan,87.0,15.7,1.5,2.6,tkpi
731,dish,saboko saltan masakan,113.0,17.1,3.6,3.0,tkpi
732,dish,saboko sardin masakan,110.0,12.9,4.3,4.9,tkpi
733,komponen,sagu aren segar,231.0,0.6,0.2,56.6,tkpi
734,dish,sagu forno,291.0,0.5,4.0,63.4,tkpi
735,komponen,sagu kasbi segar,230.0,0.6,0.2,56.5,tkpi
736,komponen,sagu lempeng,347.0,0.9,0.3,85.2,tkpi
737,dish,sagu manis,287.0,0.5,3.9,62.4,tkpi
738,dish,sagu sinole,354.0,0.8,8.3,68.9,tkpi
739,komponen,salak medan segar,55.0,0.4,0.2,12.8,tkpi
740,dish,sale kesemek,296.0,1.1,0.6,71.4,tkpi
741,dish,sanggara belanda,242.0,6.4,7.1,38.2,tkpi
742,komponen,sapi daleman segar,183.0,12.0,14.4,1.4,tkpi
743,komponen,sapi keleponan segar,84.0,10.5,4.6,0.2,tkpi
744,komponen,sapi paru dendeng mentah,360.0,57.3,6.0,19.2,tkpi
745,dish,sarimuka,166.0,2.3,2.8,32.9,tkpi
746,dish,sate pusut masakan,274.0,12.9,18.6,13.6,tkpi
747,komponen,sawi taiwan segar,30.0,1.9,0.5,4.4,tkpi
748,komponen,sawi tanah segar,19.0,1.3,0.2,2.9,tkpi
749,dish,sayur bunga pepaya,49.0,1.7,0.3,9.8,tkpi
750,dish,sayur garu,178.0,2.6,13.9,10.6,tkpi
751,dish,sayur kohukohu,133.0,7.3,6.6,11.2,tkpi
752,dish,sayur lebui,64.0,2.1,0.6,12.5,tkpi
753,dish,sayur lilinterubuk,36.0,2.7,0.7,4.8,tkpi
754,dish,sayur ndusuk,49.0,3.1,2.5,3.6,tkpi
755,dish,sayur umbut kelapa,67.0,5.2,2.9,5.1,tkpi
756,dish,sayur umbut rotan,57.0,5.4,2.6,3.1,tkpi
757,dish,sepi masakan,88.0,7.9,1.6,10.6,tkpi
758,dish,sie reuboh masakan,474.0,11.2,42.5,11.7,tkpi
759,komponen,sirup pirous,228.0,0.2,0.4,55.9,tkpi
760,dish,sop konro masakan,71.0,7.4,2.6,4.5,tkpi
761,dish,sop saudara masakan,89.0,7.2,5.0,3.9,tkpi
762,dish,soto banjar masakan,110.0,2.9,9.5,3.2,tkpi
763,komponen,sowa segar,48.0,1.6,0.6,9.1,tkpi
764,dish,srikaya ketan,265.0,2.7,6.4,49.1,tkpi
765,dish,sunduk lawang,181.0,1.9,1.3,32.4,tkpi
766,komponen,talas viqueque segar,115.0,1.8,0.5,25.9,tkpi
767,dish,tapai beras,99.0,1.7,0.3,22.4,tkpi
768,dish,tedong pallu basa masakan,83.0,10.4,3.4,2.8,tkpi
769,dish,tekwan,53.0,1.9,0.9,9.4,tkpi
770,komponen,telur ayam kampung segar,174.0,10.8,14.0,1.2,tkpi
771,komponen,telur bebek alabio segar,187.0,11.8,14.2,3.0,tkpi
772,komponen,telur bebek tambak segar,187.0,10.9,12.4,7.9,tkpi
773,komponen,telur burung maleo segar,436.0,26.5,36.3,0.4,tkpi
774,komponen,telur penyu segar,136.0,8.6,10.1,2.7,tkpi
775,komponen,tempoya,110.0,1.7,1.3,21.9,tkpi
776,komponen,terasi dobo,191.0,33.1,3.6,6.6,tkpi
777,komponen,terong asam segar,37.0,2.0,0.4,6.3,tkpi
778,komponen,terong hintalo segar,45.0,1.9,0.8,7.5,tkpi
779,dish,tikus rica masakan,257.0,18.8,18.5,3.8,tkpi
780,dish,tinira ninahu nggaluku,33.0,1.2,1.3,4.1,tkpi
781,dish,tinoransa masakan,516.0,17.7,49.5,0.0,tkpi
782,dish,tumis bandeng,189.0,11.3,15.7,0.6,tkpi
783,komponen,ubi jalar putih segar,88.0,0.4,0.4,20.6,tkpi
784,komponen,ubi jalar tinta kemayung,108.0,0.5,0.4,25.6,tkpi
785,komponen,ubi jalar kuning segar,119.0,0.5,0.4,25.1,tkpi
786,komponen,udang galah segar,81.0,16.5,0.3,3.0,tkpi
787,komponen,udang kering mentah,278.0,62.6,4.1,2.2,tkpi
788,dish,udang papay mentah,273.0,47.8,3.8,12.5,tkpi
789,komponen,udang besar segar,56.0,11.4,0.6,1.2,tkpi
790,komponen,ulat sagu segar,241.0,5.8,21.6,5.8,tkpi
791,dish,ulat sagu panggang,380.0,11.9,30.3,14.9,tkpi
792,dish,uli batatas,150.0,1.1,4.0,27.4,tkpi
793,komponen,umbut kelapa segar,39.0,2.0,0.2,7.2,tkpi
794,komponen,umbut rotan,34.0,2.4,0.3,5.5,tkpi
795,komponen,vigus segar,44.0,2.4,0.1,8.3,tkpi
796,dish,waluh balamak,45.0,0.8,0.9,8.1,tkpi
797,dish,woku ubi,143.0,3.1,7.8,15.0,tkpi
798,dish,bayau mi balu masakan,313.0,6.0,12.2,44.8,tkpi
799,dish,cucuru bayau masakan,349.0,6.8,18.7,38.3,tkpi
800,komponen,gulai keumamah masakan,110.0,5.9,8.2,3.2,tkpi
801,dish,putri hijau,189.0,5.4,2.1,37.2,tkpi
802,dish,tumis keumamah,300.0,14.5,20.0,15.5,tkpi
803,komponen,daun salam bubuk,301.0,14.2,10.9,49.0,tkpi
804,komponen,kelinci daging segar,142.0,16.9,7.8,0.0,tkpi
805,komponen,kopi bubuk instant,129.0,12.3,0.5,35.0,tkpi
806,komponen,minyak kedelai,883.0,0.0,99.9,0.0,tkpi
807,komponen,minyak wijen,881.0,0.2,99.7,0.0,tkpi
808,komponen,susu ibu asi,62.0,1.5,3.2,7.0,tkpi
809,komponen,susu kuda segar,40.0,2.0,1.1,5.4,tkpi
810,komponen,teh hijau daun kering,300.0,28.3,4.8,53.6,tkpi
811,komponen,teh hitam daun kering,293.0,24.5,2.8,58.8,tkpi
812,komponen,teh melati daun kering,299.0,24.1,3.5,59.0,tkpi
813,komponen,telur burung puyuh segar,116.0,10.7,7.0,1.6,tkpi
814,komponen,daun lobak segar,30.0,2.3,0.4,5.8,tkpi
815,dish,ikan pepetek mentah,176.0,32.0,4.4,2.0,tkpi
816,komponen,ikan pindang banjar mentah,157.0,28.0,4.2,1.8,tkpi
817,komponen,ikan pindang benggol mentah,170.0,31.0,4.2,0.0,tkpi
818,komponen,ikan pindang layang mentah,153.0,30.0,2.8,0.0,tkpi
819,komponen,ikan pindang selar mentah,142.0,27.0,3.0,0.0,tkpi
820,komponen,ikan selar kering mentah,194.0,38.0,3.5,0.0,tkpi
821,komponen,ikan sepat kering mentah,289.0,38.0,14.0,0.0,tkpi
822,komponen,ikan teri nasi kering mentah,144.0,32.5,0.6,0.0,tkpi
823,komponen,ikan teri bubuk mentah,277.0,60.0,2.3,1.8,tkpi
824,komponen,ikan teri kering mentah,170.0,33.4,3.0,0.0,tkpi
825,komponen,ikan teri kering tawar mentah,331.0,68.7,4.2,0.0,tkpi
826,komponen,rebon kering mentah,299.0,59.4,3.6,3.2,tkpi
827,dish,sardines dalam kaleng,338.0,21.1,27.0,1.0,tkpi
828,komponen,telur bebek asin mentah,179.0,13.6,13.3,4.4,tkpi
829,komponen,alpukat segar,85.0,0.9,6.5,7.7,tkpi
830,komponen,ampas tahu kering,414.0,26.6,18.3,41.3,tkpi
831,komponen,anak sapi daging gemuk segar,184.0,18.8,14.0,0.0,tkpi
832,komponen,anak sapi daging kurus segar,174.0,19.6,10.0,0.0,tkpi
833,komponen,anak sapi daging sedang segar,190.0,19.1,12.0,0.0,tkpi
834,komponen,andewi segar,226.0,1.6,0.2,5.3,tkpi
835,komponen,angsa daging segar,349.0,16.4,31.5,0.0,tkpi
836,komponen,apel segar,58.0,0.3,0.4,14.9,tkpi
837,komponen,arbai segar,37.0,0.8,0.5,8.3,tkpi
838,komponen,asam masak pohon segar,267.0,2.8,0.6,62.5,tkpi
839,komponen,ayam daging segar,298.0,18.2,25.0,0.0,tkpi
840,komponen,ayam didehdarah segar,75.0,13.8,1.9,0.7,tkpi
841,komponen,babi daging gemuksegar,453.0,11.9,45.0,0.0,tkpi
842,komponen,babi daging kurus segar,371.0,14.1,35.0,0.0,tkpi
843,komponen,babi ginjal segar,110.0,16.3,4.6,0.8,tkpi
844,komponen,babi hati segar,129.0,19.7,4.8,1.7,tkpi
845,komponen,baligo segar,15.0,0.4,0.2,3.0,tkpi
846,komponen,bawang bombay segar,43.0,1.4,0.2,10.3,tkpi
847,komponen,bawang merah segar,46.0,1.5,0.3,9.2,tkpi
848,komponen,bawang putih segar,112.0,4.5,0.2,23.1,tkpi
849,komponen,bebek itik daging segar,321.0,16.0,28.6,0.0,tkpi
850,komponen,belimbing segar,36.0,0.4,0.4,8.8,tkpi
851,komponen,beras menir mentah,362.0,7.7,4.4,73.0,tkpi
852,komponen,beras parboiled,353.0,6.8,0.6,80.0,tkpi
853,dish,bihun mentah,348.0,4.7,0.1,82.1,tkpi
854,dish,biskuit,458.0,6.9,14.4,75.1,tkpi
855,komponen,bit segar,41.0,1.6,0.1,9.6,tkpi
856,komponen,boros kunci segar,40.0,1.0,0.8,7.2,tkpi
857,komponen,boros laja lengkuas segar,26.0,1.0,0.3,4.7,tkpi
858,komponen,buah atung segar,23.0,0.8,0.2,5.2,tkpi
859,komponen,buah mentega bisbul segar,39.0,0.7,0.2,9.7,tkpi
860,komponen,buah nona segar,101.0,1.7,0.6,25.2,tkpi
861,komponen,bungkil biji karet,333.0,29.3,3.3,50.0,tkpi
862,komponen,bungkil kacang tanah,336.0,37.4,13.0,30.5,tkpi
863,komponen,bungkil kelapa,368.0,23.0,15.0,40.0,tkpi
864,komponen,burung sarang segar,281.0,37.5,0.3,32.1,tkpi
865,komponen,cabai hijau segar,26.0,0.7,0.3,5.2,tkpi
866,komponen,cabai merah kering,367.0,15.9,6.2,61.8,tkpi
867,komponen,cabai merah segar,36.0,1.0,0.3,7.3,tkpi
868,komponen,cabai rawit segar,120.0,4.7,2.4,19.9,tkpi
869,komponen,cantel mentah,366.0,11.0,3.3,73.0,tkpi
870,komponen,cempedak segar,116.0,3.0,0.4,28.6,tkpi
871,komponen,cengkeh kering,330.0,5.2,8.9,57.4,tkpi
872,komponen,cuka,21.0,0.1,0.1,5.0,tkpi
873,komponen,daun bluntas segar,44.0,1.8,0.5,9.4,tkpi
874,komponen,daun gandaria segar,63.0,3.1,0.3,14.0,tkpi
875,komponen,daun jambu mete muda segar,78.0,4.6,0.5,16.2,tkpi
876,komponen,daun kecipir segar,52.0,5.0,0.5,8.5,tkpi
877,komponen,daun kedondong segar,59.0,3.5,0.3,13.4,tkpi
878,komponen,daun kemangi segar,43.0,5.5,0.3,7.5,tkpi
879,komponen,daun koro segar,23.0,3.0,0.3,3.7,tkpi
880,komponen,daun labu siam segar,34.0,4.0,0.4,4.7,tkpi
881,komponen,daun labu waluhkuning segar,34.0,3.6,0.6,4.5,tkpi
882,komponen,daun leunca segar,49.0,4.7,0.5,8.1,tkpi
883,komponen,daun lompong talas segar,44.0,3.0,0.8,7.4,tkpi
884,komponen,daun mangkokan segar,57.0,3.7,0.3,11.8,tkpi
885,komponen,daun melinjo segar,104.0,5.0,1.3,21.3,tkpi
886,komponen,daun oyong segar,22.0,1.0,0.1,5.3,tkpi
887,komponen,daun pepaya segar,87.0,8.0,2.0,11.9,tkpi
888,komponen,daun singkong ambon segar,144.0,12.7,1.2,25.2,tkpi
889,komponen,daun tespong segar,70.0,2.9,0.3,13.9,tkpi
890,komponen,domba daging gemuk segar,317.0,15.7,27.7,0.0,tkpi
891,komponen,domba daging kurus segar,202.0,17.1,14.8,0.0,tkpi
892,komponen,domba ginjal segar,100.0,16.6,3.3,1.0,tkpi
893,komponen,duku segar,63.0,1.0,0.2,16.1,tkpi
894,komponen,durian segar,134.0,2.5,3.0,28.0,tkpi
895,komponen,eceng segar,19.0,1.0,0.2,3.8,tkpi
896,komponen,embacang segar,98.0,1.4,0.2,25.4,tkpi
897,dish,emping kerupuk melinjo,345.0,12.0,1.5,71.5,tkpi
898,komponen,erbis segar,70.0,0.6,0.0,18.9,tkpi
899,dish,es krim,210.0,4.0,12.5,20.6,tkpi
900,komponen,gambas oyong segar,19.0,0.8,0.2,4.1,tkpi
901,komponen,gandaria masak,68.0,0.7,0.1,18.0,tkpi
902,komponen,genjer segar,35.0,1.7,0.2,7.7,tkpi
903,dish,ham,384.0,16.9,35.0,0.3,tkpi
904,dish,hangop,65.0,10.0,1.0,3.5,tkpi
905,komponen,jagung kuning tepung,355.0,9.2,3.9,73.7,tkpi
906,komponen,jagung muda semi segar,35.0,2.2,0.1,7.4,tkpi
907,komponen,jahe segar,51.0,1.5,1.0,10.1,tkpi
908,komponen,jali mentah,324.0,11.0,4.0,61.0,tkpi
909,komponen,jambu air segar,46.0,0.6,0.2,11.8,tkpi
910,komponen,jambu biji,49.0,0.9,0.3,12.2,tkpi
