id,jenis_makanan,nama_makanan,kalori,protein,lemak,karbohidrat,source
222,dish,ikan mas pepes,209.0,15.2,11.3,11.8,tkpi
223,komponen,ikan mayong segar,97.0,17.9,2.0,0.4,tkpi
224,dish,ikan mujahir goreng,416.0,46.9,23.9,0.0,tkpi
225,dish,ikan mujahir pepes,121.0,21.7,2.8,0.8,tkpi
226,komponen,ikan mujahir dendeng mentah,582.0,68.3,15.2,37.2,tkpi
227,komponen,ikan mujahir segar,89.0,18.7,1.0,0.0,tkpi
228,dish,ikan sale lais mentah,415.0,61.3,17.6,2.9,tkpi
229,komponen,ikan sidat segar,81.0,11.4,1.9,3.8,tkpi
230,komponen,ikan teri segar,74.0,10.3,1.4,4.1,tkpi
231,komponen,ikan teri tepung mentah,347.0,48.8,6.4,19.6,tkpi
232,komponen,ikan tepung mentah,316.0,60.1,6.5,22.4,tkpi
233,dish,intip goreng,474.0,7.6,21.6,62.3,tkpi
234,dish,jagung gerontol,156.0,2.7,1.3,33.3,tkpi
235,komponen,jagung kuning pipil kering mentah,366.0,9.8,7.3,69.1,tkpi
236,dish,jagung kuning pipil rebus,154.0,3.8,3.5,28.4,tkpi
237,komponen,jagung muda kuning mentah,147.0,5.1,0.7,31.5,tkpi
238,dish,jagung muda rebus,142.0,5.0,0.7,30.3,tkpi
239,komponen,jagung pipil var harapan kering,367.0,6.2,5.1,76.2,tkpi
240,komponen,jagung pipil var metro kering,368.0,5.5,4.6,78.0,tkpi
241,dish,jagung titi,374.0,9.4,2.2,79.1,tkpi
242,komponen,jambu biji putih tidak berbiji,61.0,0.9,0.3,15.4,tkpi
243,dish,japilus,500.0,1.2,25.1,67.3,tkpi
244,komponen,jeruk nipis segar,44.0,0.5,0.2,10.0,tkpi
245,komponen,jeruk ragi segar,49.0,0.7,0.2,11.1,tkpi
246,komponen,kaburan ubi segar,133.0,1.0,0.2,32.2,tkpi
247,dish,kacang atom,533.0,27.8,38.1,28.8,tkpi
248,komponen,kacang metebiji jambu monyet goreng,629.0,20.4,56.3,19.8,tkpi
249,dish,kacang sukro,484.0,8.8,26.1,57.7,tkpi
250,dish,kacang tanah sari,561.0,25.5,43.8,26.0,tkpi
251,komponen,kawista segar,120.0,3.5,2.5,20.8,tkpi
252,dish,kecimpring singkong goreng,464.0,1.2,18.6,73.0,tkpi
253,dish,kembang tahu,380.0,48.9,13.8,23.3,tkpi
254,dish,kembang tahu rebus,90.0,10.7,4.0,4.7,tkpi
255,komponen,kentang segar,62.0,2.1,0.2,13.5,tkpi
256,komponen,kerang dendeng mentah,357.0,41.1,10.0,25.6,tkpi
257,komponen,kerang segar,101.0,14.4,2.6,3.9,tkpi
258,dish,keremes,475.0,1.6,25.2,64.4,tkpi
259,komponen,keribang ubi segar,137.0,1.3,1.1,29.8,tkpi
